iter,HV
0,0.9856710990782336
1,0.9856714275149435
2,0.9856714275149435
3,0.9856714275149435
4,0.9856715982441706
5,0.9856718819644249
6,0.9856719127141984
7,0.9856719211861182
8,0.9856723057169633
9,0.9856723835217734
10,0.9856723939319824
11,0.9856724074430044
12,0.9856728942177622
13,0.985672978882184
14,0.985673218155098
15,0.9856753179788047
16,0.9856753324902393
17,0.9856754436037127
18,0.9858946892101711
19,0.9858948378892702
20,0.9858948657540395
21,0.9858949209954684
22,0.9858950105640422
23,0.9860237204764637
24,0.9860237357620004
25,0.9860237464956781
26,0.9860237823953533
27,0.98602384329587
28,0.9860238908601382
29,0.9860239530431065
30,0.9860281778973885
31,0.9860282771477126
32,0.9860283116386931
33,0.9860283159231737
34,0.9860284317533148
35,0.9860298766886578
36,0.9860299564427828
37,0.9860300284894052
38,0.986030414289047
39,0.9860304324440988
40,0.9860308690943347
41,0.9860308772009647
42,0.9860321496121895
43,0.9860322609017076
44,0.9860324196420324
45,0.9860324547647947
46,0.9860325151087824
47,0.9860325953442334
48,0.9860326134433947
49,0.9860326806467619
50,0.9860365233066998
51,0.9860365410098424
52,0.9860367257207617
53,0.9860367330834464
54,0.9860367422872428
55,0.9860580243525591
56,0.986058027037842
57,0.9860580474833099
58,0.9860580710597042
59,0.98605808347869
60,0.9860580962600848
61,0.9860581988817504
62,0.9860582039494088
63,0.9860596341606379
64,0.9860596390742807
65,0.9860596505954876
66,0.9860596559023767
67,0.986059694996491
68,0.9860597458739542
69,0.9860597756307441
70,0.9860730096279148
71,0.9860730165014842
72,0.9860730340803409
73,0.986073167123662
74,0.986073170730407
75,0.9860731717555341
76,0.9861128466278295
77,0.9861130781979833
78,0.9861130832781929
79,0.9861130898181334
80,0.9861131310373619
81,0.986113242590786
82,0.9861132683119608
83,0.9861133335893908
84,0.9861133782948285
85,0.9861133939819842
86,0.9861134025135891
87,0.9861134411000672
88,0.9861134844176958
89,0.9861134908419089
90,0.9861135054160706
91,0.9861136080397305
92,0.9861136319639973
93,0.986113656280797
94,0.9861136946631683
95,0.9861137033486554
96,0.9861137205477385
97,0.9861137537965025
98,0.9861137623577539
99,0.9861140627070772
100,0.9861406670702296
101,0.986140671968862
102,0.9861406790301396
103,0.986140680768126
104,0.9861406906195931
105,0.9861406975375578
106,0.9861407353136938
107,0.986140740462866
108,0.9861407467428588
109,0.9861407775013652
110,0.9861407852405597
111,0.9861408178816462
112,0.9861408326670229
113,0.9861424354862396
114,0.9861424931605544
115,0.9861424978688669
116,0.9861425199825835
117,0.986142533024361
118,0.9861425355429246
119,0.9861426161975861
120,0.986142619004578
121,0.9861426471202649
122,0.9861426642555374
123,0.9861426728558401
124,0.9861426738287145
125,0.986142674145115
126,0.9861426868384667
127,0.9861430801480847
128,0.986143087623794
129,0.9861430908350531
130,0.98614309377646
131,0.9861430990382387
132,0.9861431110277191
133,0.9861431180251126
134,0.9861431208941823
135,0.9861431229290737
136,0.9861431236918364
137,0.9861438943832936
138,0.9861438964039935
139,0.9861438979453433
140,0.9861439068717421
141,0.9861439115803967
142,0.98614391740021
143,0.9861439246155571
144,0.9861439272759248
145,0.986143979343278
146,0.9861439834527391
147,0.9861439850611712
148,0.9861439922846126
149,0.9861439982566884
150,0.9861440118746986
151,0.9861440203276841
152,0.9861440255617675
153,0.9861440308819149
154,0.9861440340904253
155,0.9861440349412626
156,0.9861440455866669
157,0.9861440539842441
158,0.9861440548240961
159,0.9861440832290553
160,0.986144083066448
161,0.9861441026606556
162,0.9861441084295175
163,0.9861441128558429
164,0.986144115585107
165,0.9861441154510788
166,0.9861441262132384
167,0.9861994095993427
168,0.9861994102108581
169,0.9861994113345182
170,0.9861994126107189
171,0.9861997517984747
172,0.9861997765106773
173,0.986199783762772
174,0.9861997864623756
175,0.9861997954179912
176,0.9861997978316993
177,0.9861997996664061
178,0.9861997995467867
179,0.9861998005505932
180,0.9861998014750162
181,0.9861998015290122
182,0.9861998058329646
183,0.9861998086425998
184,0.9862238300287869
185,0.9862238304430816
186,0.986223830810808
187,0.9862238344798115
188,0.9862238416417624
189,0.9862238413690819
190,0.9862238459604786
191,0.9862238468859545
192,0.9862238493075799
193,0.9862238528783718
194,0.9862238537027862
195,0.9862238543630215
196,0.9862238547027239
197,0.9862240712014608
198,0.986224072719148
199,0.9862240744461759
200,0.9862240741692655
201,0.9862240748659552
202,0.9862240767827966
203,0.986224079282771
204,0.9862240799216646
205,0.9862240818484089
206,0.9862240832209044
207,0.9862240959206611
208,0.9862241572057632
209,0.9862241588424534
210,0.9862241667315235
211,0.9862241665828908
212,0.986224165852525
213,0.9862241675785463
214,0.9862241717462827
215,0.9862241728829801
216,0.9862243466152234
217,0.9862243548694613
218,0.9862243566984408
219,0.9862243584152266
220,0.9862243591967971
221,0.9862243627941875
222,0.9862243632043185
223,0.9862243638649825
224,0.9862243670934423
225,0.9862243702146264
226,0.9862243736027866
227,0.9862243761254936
228,0.9862243759477841
229,0.986224376413824
230,0.9862243770205824
231,0.9862243770902782
232,0.9862243768976635
233,0.9862243808726909
234,0.9862243809304104
235,0.9862243824873985
236,0.9862243895748628
237,0.9862243893528273
238,0.9862243909498132
239,0.9862243912034383
240,0.9862243960635879
241,0.9862243964594601
242,0.9862243968676236
243,0.9862244048679761
244,0.9862244046400158
245,0.9862244060965591
246,0.9862244065231902
247,0.9862244101731076
248,0.9862244097309499
249,0.986224412796171
250,0.9862244184472747
251,0.986224423421497
252,0.9862244288415999
253,0.9862244294342877
254,0.9862244322591479
255,0.9862244328973571
256,0.9862244329155012
257,0.9862244322827262
258,0.986224433810538
259,0.9862244401177298
260,0.986224444727251
261,0.9862244527584256
262,0.986224455060153
263,0.986224457225471
264,0.9862244597241324
265,0.9862244599059848
266,0.9862244601820083
267,0.9862244572635588
268,0.9862244593418934
269,0.9862244605219807
270,0.9862244641504937
271,0.9862244643414751
272,0.9862244648042944
273,0.9862244665454339
274,0.9862244711978142
275,0.9862244719527127
276,0.9862244727442872
277,0.9862244724468624
278,0.9862244795463563
279,0.9862244795283642
280,0.9862244874432189
281,0.9862244895878364
282,0.9862244897319017
283,0.9862244915230115
284,0.986224491318707
285,0.9862244911242172
286,0.9862244928663367
287,0.9862244954780476
288,0.9862244964143656
289,0.9862244978046639
290,0.9862244978434389
291,0.9862244991680358
292,0.986224499382911
293,0.9862245047615894
294,0.9862785538394547
295,0.9862785533852412
296,0.9862858014323538
297,0.9862858014817261
298,0.9862858026502794
299,0.9862858027213094
